LR_Training_5fold_piT5
[K_Fold] λ = 0.112884 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.289098
[K_Fold] λ = 0.263665 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.291210
[K_Fold] λ = 0.615848 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.294078
[K_Fold] λ = 1.438450 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.298194
[K_Fold] λ = 3.359818 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.299412
[K_Fold] λ = 7.847600 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.300522
[K_Fold] λ = 18.329807 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.301602
[K_Fold] λ = 42.813324 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.301602
[K_Fold] λ = 100.000000 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.301602
LR_Training_5fold_piT9
[K_Fold] λ = 0.000010 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.117900
[K_Fold] λ = 0.000023 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.119118
[K_Fold] λ = 0.000055 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.118501
[K_Fold] λ = 0.000127 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.118763
[K_Fold] λ = 0.000298 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.120490
[K_Fold] λ = 0.000695 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.125254
[K_Fold] λ = 0.001624 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.135845
[K_Fold] λ = 0.003793 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.143785
[K_Fold] λ = 0.008859 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.148903
[K_Fold] λ = 0.020691 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.154130
[K_Fold] λ = 0.048329 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.159033
[K_Fold] λ = 0.112884 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.163675
[K_Fold] λ = 0.263665 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.165293
[K_Fold] λ = 0.615848 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.165633
[K_Fold] λ = 1.438450 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.164862
[K_Fold] λ = 3.359818 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.166419
[K_Fold] λ = 7.847600 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.169857
[K_Fold] λ = 18.329807 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.170581
[K_Fold] λ = 42.813324 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.171152
[K_Fold] λ = 100.000000 , pi_t = 0.9 , prior = 0.5 , minDCF = 0.184781
[K_Fold] λ = 0.000010 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.505367
[K_Fold] λ = 0.000023 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.519384
[K_Fold] λ = 0.000055 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.514233
[K_Fold] λ = 0.000127 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.520124
[K_Fold] λ = 0.000298 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.522591
[K_Fold] λ = 0.000695 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.519043
[K_Fold] λ = 0.001624 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.527967
[K_Fold] λ = 0.003793 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.557429
[K_Fold] λ = 0.008859 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.570923
[K_Fold] λ = 0.020691 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.577809
[K_Fold] λ = 0.048329 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.594800
[K_Fold] λ = 0.112884 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.592950
[K_Fold] λ = 0.263665 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.589496
[K_Fold] λ = 0.615848 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.596614
[K_Fold] λ = 1.438450 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.596875
[K_Fold] λ = 3.359818 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.608620
[K_Fold] λ = 7.847600 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.614504
[K_Fold] λ = 18.329807 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.618503
[K_Fold] λ = 42.813324 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.669294
[K_Fold] λ = 100.000000 , pi_t = 0.9 , prior = 0.9 , minDCF = 0.702116
[K_Fold] λ = 0.000010 , pi_t = 0.9 , prior = 0.1 , minDCF = 0.217744
[K_Fold] λ = 0.000023 , pi_t = 0.9 , prior = 0.1 , minDCF = 0.221428
[K_Fold] λ = 0.000055 , pi_t = 0.9 , prior = 0.1 , minDCF = 0.221182
[K_Fold] λ = 0.000127 , pi_t = 0.9 , prior = 0.1 , minDCF = 0.222430
[K_Fold] λ = 0.000298 , pi_t = 0.9 , prior = 0.1 , minDCF = 0.223294
[K_Fold] λ = 0.000695 , pi_t = 0.9 , prior = 0.1 , minDCF = 0.229276
[K_Fold] λ = 0.001624 , pi_t = 0.9 , prior = 0.1 , minDCF = 0.247361
